article_id,product_group_name,image_path
559129003,Garment Lower body,data\hm\images\055\0559129003.jpg
500262002,Garment Upper body,data\hm\images\050\0500262002.jpg
849586004,Garment Full body,data\hm\images\084\0849586004.jpg
770180002,Socks & Tights,data\hm\images\077\0770180002.jpg
873552005,Garment Upper body,data\hm\images\087\0873552005.jpg
564309013,Underwear,data\hm\images\056\0564309013.jpg
743722002,Garment Upper body,data\hm\images\074\0743722002.jpg
621336002,Garment Upper body,data\hm\images\062\0621336002.jpg
630325002,Garment Upper body,data\hm\images\063\0630325002.jpg
723147002,Garment Upper body,data\hm\images\072\0723147002.jpg
853390001,Swimwear,data\hm\images\085\0853390001.jpg
578487006,Garment Upper body,data\hm\images\057\0578487006.jpg
564551012,Garment Upper body,data\hm\images\056\0564551012.jpg
625114006,Garment Upper body,data\hm\images\062\0625114006.jpg
715325001,Swimwear,data\hm\images\071\0715325001.jpg
820480005,Garment Full body,data\hm\images\082\0820480005.jpg
830100003,Underwear,data\hm\images\083\0830100003.jpg
561066001,Garment Lower body,data\hm\images\056\0561066001.jpg
327821034,Garment Lower body,data\hm\images\032\0327821034.jpg
516802005,Garment Upper body,data\hm\images\051\0516802005.jpg
511783012,Accessories,data\hm\images\051\0511783012.jpg
846607001,Garment Upper body,data\hm\images\084\0846607001.jpg
796638001,Garment Full body,data\hm\images\079\0796638001.jpg
504347006,Garment Upper body,data\hm\images\050\0504347006.jpg
828268004,Garment Full body,data\hm\images\082\0828268004.jpg
711053011,Garment Upper body,data\hm\images\071\0711053011.jpg
572799002,Garment Upper body,data\hm\images\057\0572799002.jpg
756870002,Garment Lower body,data\hm\images\075\0756870002.jpg
796735006,Garment Upper body,data\hm\images\079\0796735006.jpg
700835002,Garment Full body,data\hm\images\070\0700835002.jpg
619210001,Garment Full body,data\hm\images\061\0619210001.jpg
645988001,Accessories,data\hm\images\064\0645988001.jpg
585785001,Garment Upper body,data\hm\images\058\0585785001.jpg
600689001,Garment Lower body,data\hm\images\060\0600689001.jpg
294008005,Garment Full body,data\hm\images\029\0294008005.jpg
485551009,Nightwear,data\hm\images\048\0485551009.jpg
884349001,Accessories,data\hm\images\088\0884349001.jpg
696209004,Garment Lower body,data\hm\images\069\0696209004.jpg
801961003,Garment Full body,data\hm\images\080\0801961003.jpg
516898007,Garment Lower body,data\hm\images\051\0516898007.jpg
747720005,Shoes,data\hm\images\074\0747720005.jpg
618899007,Garment Lower body,data\hm\images\061\0618899007.jpg
873092002,Garment Upper body,data\hm\images\087\0873092002.jpg
719758001,Garment Upper body,data\hm\images\071\0719758001.jpg
798250001,Garment Upper body,data\hm\images\079\0798250001.jpg
724379001,Garment Full body,data\hm\images\072\0724379001.jpg
843597002,Accessories,data\hm\images\084\0843597002.jpg
731889001,Garment Upper body,data\hm\images\073\0731889001.jpg
650802002,Garment Lower body,data\hm\images\065\0650802002.jpg
746825002,Garment Upper body,data\hm\images\074\0746825002.jpg
732294001,Underwear,data\hm\images\073\0732294001.jpg
544182001,Accessories,data\hm\images\054\0544182001.jpg
659940001,Garment Upper body,data\hm\images\065\0659940001.jpg
630956001,Accessories,data\hm\images\063\0630956001.jpg
606395022,Garment Lower body,data\hm\images\060\0606395022.jpg
707099002,Garment Lower body,data\hm\images\070\0707099002.jpg
685538005,Garment Upper body,data\hm\images\068\0685538005.jpg
545838001,Garment Upper body,data\hm\images\054\0545838001.jpg
756932001,Underwear,data\hm\images\075\0756932001.jpg
568931001,Garment Lower body,data\hm\images\056\0568931001.jpg
500764001,Garment Lower body,data\hm\images\050\0500764001.jpg
736648001,Garment Upper body,data\hm\images\073\0736648001.jpg
