week,colour_group_name,sales_count
2018-09-17,Beige,2845
2018-09-17,Black,57470
2018-09-17,Blue,7251
2018-09-17,Bronze/Copper,18
2018-09-17,Dark Beige,751
2018-09-17,Dark Blue,16325
2018-09-17,Dark Green,4019
2018-09-17,Dark Grey,6319
2018-09-17,Dark Orange,559
2018-09-17,Dark Pink,1359
2018-09-17,Dark Purple,437
2018-09-17,Dark Red,6293
2018-09-17,Dark Turquoise,1235
2018-09-17,Dark Yellow,395
2018-09-17,Gold,761
2018-09-17,Green,714
2018-09-17,Greenish Khaki,3414
2018-09-17,Grey,6904
2018-09-17,Greyish Beige,122
2018-09-17,Light Beige,3327
2018-09-17,Light Blue,4680
2018-09-17,Light Green,182
2018-09-17,Light Grey,2899
2018-09-17,Light Orange,1332
2018-09-17,Light Pink,4899
2018-09-17,Light Purple,324
2018-09-17,Light Red,170
2018-09-17,Light Turquoise,525
2018-09-17,Light Yellow,342
2018-09-17,Off White,2899
2018-09-17,Orange,443
2018-09-17,Other,457
2018-09-17,Other Blue,100
2018-09-17,Other Green,43
2018-09-17,Other Orange,58
2018-09-17,Other Pink,347
2018-09-17,Other Purple,70
2018-09-17,Other Red,216
2018-09-17,Other Turquoise,4
2018-09-17,Other Yellow,53
2018-09-17,Pink,3098
2018-09-17,Purple,129
2018-09-17,Red,4147
2018-09-17,Silver,618
2018-09-17,Transparent,31
2018-09-17,Turquoise,384
2018-09-17,Unknown,29
2018-09-17,White,13473
2018-09-17,Yellow,2498
2018-09-17,Yellowish Brown,839
2018-09-24,Beige,7703
2018-09-24,Black,152547
2018-09-24,Blue,14390
2018-09-24,Bronze/Copper,55
2018-09-24,Dark Beige,2064
2018-09-24,Dark Blue,41829
2018-09-24,Dark Green,7828
2018-09-24,Dark Grey,16232
2018-09-24,Dark Orange,1471
2018-09-24,Dark Pink,3731
2018-09-24,Dark Purple,1334
2018-09-24,Dark Red,16681
2018-09-24,Dark Turquoise,3631
2018-09-24,Dark Yellow,1053
2018-09-24,Gold,2264
2018-09-24,Green,1822
2018-09-24,Greenish Khaki,8677
2018-09-24,Grey,20749
2018-09-24,Greyish Beige,392
2018-09-24,Light Beige,9037
2018-09-24,Light Blue,11231
2018-09-24,Light Green,496
2018-09-24,Light Grey,8051
2018-09-24,Light Orange,4338
2018-09-24,Light Pink,13356
2018-09-24,Light Purple,614
2018-09-24,Light Red,310
2018-09-24,Light Turquoise,1307
2018-09-24,Light Yellow,736
2018-09-24,Off White,8046
2018-09-24,Orange,1091
2018-09-24,Other,951
2018-09-24,Other Blue,219
2018-09-24,Other Green,61
2018-09-24,Other Orange,135
2018-09-24,Other Pink,1006
2018-09-24,Other Purple,134
2018-09-24,Other Red,481
2018-09-24,Other Turquoise,16
2018-09-24,Other Yellow,135
2018-09-24,Pink,6527
2018-09-24,Purple,321
2018-09-24,Red,9120
2018-09-24,Silver,1670
2018-09-24,Transparent,116
2018-09-24,Turquoise,1219
2018-09-24,Unknown,78
2018-09-24,White,34223
2018-09-24,Yellow,6575
2018-09-24,Yellowish Brown,2916
2018-10-01,Beige,3844
2018-10-01,Black,94016
2018-10-01,Blue,8551
2018-10-01,Bronze/Copper,30
2018-10-01,Dark Beige,1238
2018-10-01,Dark Blue,25510
2018-10-01,Dark Green,4615
2018-10-01,Dark Grey,9804
2018-10-01,Dark Orange,968
2018-10-01,Dark Pink,1957
2018-10-01,Dark Purple,849
2018-10-01,Dark Red,9856
2018-10-01,Dark Turquoise,2155
2018-10-01,Dark Yellow,739
2018-10-01,Gold,1342
2018-10-01,Green,850
2018-10-01,Greenish Khaki,5608
2018-10-01,Grey,12460
2018-10-01,Greyish Beige,182
2018-10-01,Light Beige,5244
2018-10-01,Light Blue,6973
2018-10-01,Light Green,238
2018-10-01,Light Grey,4555
2018-10-01,Light Orange,2644
2018-10-01,Light Pink,7407
2018-10-01,Light Purple,391
2018-10-01,Light Red,175
2018-10-01,Light Turquoise,769
2018-10-01,Light Yellow,455
2018-10-01,Off White,4552
2018-10-01,Orange,683
2018-10-01,Other,458
2018-10-01,Other Blue,164
2018-10-01,Other Green,49
2018-10-01,Other Orange,104
2018-10-01,Other Pink,695
2018-10-01,Other Purple,94
2018-10-01,Other Red,256
2018-10-01,Other Turquoise,8
2018-10-01,Other Yellow,81
2018-10-01,Pink,3347
2018-10-01,Purple,222
2018-10-01,Red,5628
2018-10-01,Silver,1020
2018-10-01,Transparent,63
2018-10-01,Turquoise,553
2018-10-01,Unknown,61
2018-10-01,White,20852
2018-10-01,Yellow,3771
2018-10-01,Yellowish Brown,2157
2018-10-08,Beige,5148
2018-10-08,Black,127618
2018-10-08,Blue,10206
2018-10-08,Bronze/Copper,138
2018-10-08,Dark Beige,2445
2018-10-08,Dark Blue,30547
2018-10-08,Dark Green,6077
2018-10-08,Dark Grey,11668
2018-10-08,Dark Orange,1171
2018-10-08,Dark Pink,2438
2018-10-08,Dark Purple,1151
2018-10-08,Dark Red,13732
2018-10-08,Dark Turquoise,3698
2018-10-08,Dark Yellow,1002
2018-10-08,Gold,2172
2018-10-08,Green,965
2018-10-08,Greenish Khaki,6831
2018-10-08,Grey,13383
2018-10-08,Greyish Beige,288
2018-10-08,Light Beige,7556
2018-10-08,Light Blue,7939
2018-10-08,Light Green,316
2018-10-08,Light Grey,5754
2018-10-08,Light Orange,2973
2018-10-08,Light Pink,8390
2018-10-08,Light Purple,544
2018-10-08,Light Red,228
2018-10-08,Light Turquoise,862
2018-10-08,Light Yellow,622
2018-10-08,Off White,6138
2018-10-08,Orange,1042
2018-10-08,Other,618
2018-10-08,Other Blue,146
2018-10-08,Other Green,51
2018-10-08,Other Orange,89
2018-10-08,Other Pink,765
