week,graphical_appearance_name,sales_count
2018-09-17,All over pattern,13505
2018-09-17,Application/3D,504
2018-09-17,Argyle,8
2018-09-17,Chambray,155
2018-09-17,Check,4326
2018-09-17,Colour blocking,2550
2018-09-17,Contrast,986
2018-09-17,Denim,13037
2018-09-17,Dot,652
2018-09-17,Embroidery,899
2018-09-17,Front print,3037
2018-09-17,Glittering/Metallic,437
2018-09-17,Jacquard,578
2018-09-17,Lace,3751
2018-09-17,Melange,17994
2018-09-17,Mesh,3
2018-09-17,Metallic,178
2018-09-17,Mixed solid/pattern,337
2018-09-17,Neps,217
2018-09-17,Other pattern,350
2018-09-17,Other structure,1879
2018-09-17,Placement print,3646
2018-09-17,Sequin,192
2018-09-17,Slub,30
2018-09-17,Solid,85907
2018-09-17,Stripe,8714
2018-09-17,Transparent,72
2018-09-17,Treatment,1807
2018-09-17,Unknown,56
2018-09-24,All over pattern,33835
2018-09-24,Application/3D,1786
2018-09-24,Argyle,37
2018-09-24,Chambray,485
2018-09-24,Check,13323
2018-09-24,Colour blocking,7478
2018-09-24,Contrast,2421
2018-09-24,Denim,25517
2018-09-24,Dot,1958
2018-09-24,Embroidery,2154
2018-09-24,Front print,8413
2018-09-24,Glittering/Metallic,1537
2018-09-24,Jacquard,1843
2018-09-24,Lace,8267
2018-09-24,Melange,48300
2018-09-24,Mesh,45
2018-09-24,Metallic,634
2018-09-24,Mixed solid/pattern,892
2018-09-24,Neps,543
2018-09-24,Other pattern,1149
2018-09-24,Other structure,5945
2018-09-24,Placement print,10489
2018-09-24,Sequin,952
2018-09-24,Slub,148
2018-09-24,Solid,226026
2018-09-24,Stripe,20309
2018-09-24,Transparent,276
2018-09-24,Treatment,4066
2018-09-24,Unknown,141
2018-10-01,All over pattern,21579
2018-10-01,Application/3D,1186
2018-10-01,Argyle,15
2018-10-01,Chambray,268
2018-10-01,Check,7897
2018-10-01,Colour blocking,4393
2018-10-01,Contrast,1431
2018-10-01,Denim,15663
2018-10-01,Dot,1040
2018-10-01,Embroidery,1527
2018-10-01,Front print,5432
2018-10-01,Glittering/Metallic,1002
2018-10-01,Jacquard,1150
2018-10-01,Lace,4892
2018-10-01,Melange,28287
2018-10-01,Mesh,114
2018-10-01,Metallic,434
2018-10-01,Mixed solid/pattern,521
2018-10-01,Neps,354
2018-10-01,Other pattern,583
2018-10-01,Other structure,3483
2018-10-01,Placement print,6208
2018-10-01,Sequin,544
2018-10-01,Slub,73
2018-10-01,Solid,135448
2018-10-01,Stripe,11902
2018-10-01,Transparent,135
2018-10-01,Treatment,2597
2018-10-01,Unknown,85
2018-10-08,All over pattern,27423
2018-10-08,Application/3D,1601
2018-10-08,Argyle,38
2018-10-08,Chambray,340
2018-10-08,Check,10434
