week,product_group_name,sales_count
2018-09-17,Accessories,7385
2018-09-17,Bags,1
2018-09-17,Cosmetic,21
2018-09-17,Garment Full body,11291
2018-09-17,Garment Lower body,42025
2018-09-17,Garment Upper body,80031
2018-09-17,Items,29
2018-09-17,Nightwear,1783
2018-09-17,Shoes,4126
2018-09-17,Socks & Tights,4193
2018-09-17,Swimwear,4183
2018-09-17,Underwear,10642
2018-09-17,Underwear/nightwear,18
2018-09-17,Unknown,79
2018-09-24,Accessories,24197
2018-09-24,Cosmetic,86
2018-09-24,Garment Full body,25393
2018-09-24,Garment Lower body,96048
2018-09-24,Garment Upper body,217680
2018-09-24,Interior textile,2
2018-09-24,Items,55
2018-09-24,Nightwear,4789
2018-09-24,Shoes,10228
2018-09-24,Socks & Tights,14363
2018-09-24,Swimwear,8528
2018-09-24,Underwear,27321
2018-09-24,Underwear/nightwear,29
2018-09-24,Unknown,250
2018-10-01,Accessories,13761
2018-10-01,Cosmetic,69
2018-10-01,Garment Full body,14914
2018-10-01,Garment Lower body,58648
2018-10-01,Garment Upper body,130167
2018-10-01,Interior textile,4
2018-10-01,Items,37
2018-10-01,Nightwear,2825
2018-10-01,Shoes,6682
2018-10-01,Socks & Tights,8742
2018-10-01,Swimwear,5743
2018-10-01,Underwear,16429
2018-10-01,Underwear/nightwear,20
2018-10-01,Unknown,202
2018-10-08,Accessories,18003
2018-10-08,Bags,2
2018-10-08,Cosmetic,55
2018-10-08,Garment Full body,21759
2018-10-08,Garment Lower body,77321
2018-10-08,Garment Upper body,162944
2018-10-08,Interior textile,2
2018-10-08,Items,41
2018-10-08,Nightwear,3452
2018-10-08,Shoes,8016
2018-10-08,Socks & Tights,9441
2018-10-08,Swimwear,7842
2018-10-08,Underwear,23224
2018-10-08,Underwear/nightwear,29
2018-10-08,Unknown,207
2018-10-15,Accessories,15783
2018-10-15,Bags,1
2018-10-15,Cosmetic,67
2018-10-15,Garment Full body,21353
2018-10-15,Garment Lower body,70485
2018-10-15,Garment Upper body,151734
2018-10-15,Interior textile,2
2018-10-15,Items,16
2018-10-15,Nightwear,2898
2018-10-15,Shoes,7452
2018-10-15,Socks & Tights,7679
2018-10-15,Swimwear,7269
2018-10-15,Underwear,19929
2018-10-15,Underwear/nightwear,17
2018-10-15,Unknown,224
2018-10-22,Accessories,21578
2018-10-22,Bags,6
2018-10-22,Cosmetic,77
2018-10-22,Garment Full body,24824
2018-10-22,Garment Lower body,81980
2018-10-22,Garment Upper body,188455
2018-10-22,Interior textile,6
2018-10-22,Items,47
2018-10-22,Nightwear,5047
2018-10-22,Shoes,9192
2018-10-22,Socks & Tights,11031
2018-10-22,Swimwear,7470
2018-10-22,Underwear,24657
2018-10-22,Underwear/nightwear,18
2018-10-22,Unknown,194
2018-10-29,Accessories,18333
2018-10-29,Bags,1
2018-10-29,Cosmetic,21
2018-10-29,Garment Full body,20186
2018-10-29,Garment Lower body,59144
2018-10-29,Garment Upper body,135262
2018-10-29,Interior textile,1
2018-10-29,Items,36
2018-10-29,Nightwear,4661
2018-10-29,Shoes,6786
2018-10-29,Socks & Tights,9044
2018-10-29,Swimwear,5537
2018-10-29,Underwear,17581
2018-10-29,Underwear/nightwear,14
2018-10-29,Unknown,191
2018-11-05,Accessories,14246
2018-11-05,Bags,1
2018-11-05,Cosmetic,28
2018-11-05,Garment Full body,21639
2018-11-05,Garment Lower body,52525
2018-11-05,Garment Upper body,117161
2018-11-05,Items,32
2018-11-05,Nightwear,3884
2018-11-05,Shoes,5279
2018-11-05,Socks & Tights,8197
2018-11-05,Swimwear,4392
2018-11-05,Underwear,18682
2018-11-05,Underwear/nightwear,13
2018-11-05,Unknown,122
2018-11-12,Accessories,15444
2018-11-12,Cosmetic,37
2018-11-12,Garment Full body,21405
2018-11-12,Garment Lower body,52352
2018-11-12,Garment Upper body,114506
2018-11-12,Interior textile,2
2018-11-12,Items,32
2018-11-12,Nightwear,3540
2018-11-12,Shoes,5499
2018-11-12,Socks & Tights,7304
2018-11-12,Swimwear,4054
2018-11-12,Underwear,16987
2018-11-12,Underwear/nightwear,9
2018-11-12,Unknown,122
2018-11-19,Accessories,32212
2018-11-19,Cosmetic,89
2018-11-19,Garment Full body,33068
2018-11-19,Garment Lower body,94298
2018-11-19,Garment Upper body,220251
2018-11-19,Interior textile,2
2018-11-19,Items,15
2018-11-19,Nightwear,8388
2018-11-19,Shoes,11143
2018-11-19,Socks & Tights,14374
2018-11-19,Swimwear,5958
2018-11-19,Underwear,34324
2018-11-19,Underwear/nightwear,19
2018-11-19,Unknown,178
2018-11-26,Accessories,16031
2018-11-26,Bags,13
2018-11-26,Cosmetic,48
2018-11-26,Garment Full body,20664
2018-11-26,Garment Lower body,50081
2018-11-26,Garment Upper body,110621
2018-11-26,Items,26
2018-11-26,Nightwear,4278
2018-11-26,Shoes,5455
2018-11-26,Socks & Tights,9174
2018-11-26,Swimwear,4205
2018-11-26,Underwear,18929
2018-11-26,Underwear/nightwear,9
2018-11-26,Unknown,122
2018-12-03,Accessories,17272
2018-12-03,Bags,31
2018-12-03,Cosmetic,52
2018-12-03,Garment Full body,26900
2018-12-03,Garment Lower body,48465
2018-12-03,Garment Upper body,103169
2018-12-03,Interior textile,1
2018-12-03,Items,34
2018-12-03,Nightwear,3573
2018-12-03,Shoes,5540
2018-12-03,Socks & Tights,8883
2018-12-03,Swimwear,4889
2018-12-03,Underwear,18302
2018-12-03,Underwear/nightwear,10
2018-12-03,Unknown,203
2018-12-10,Accessories,20528
2018-12-10,Bags,16
2018-12-10,Cosmetic,67
